family_name_1,given_name_1,family_name_2,given_name_2,year,field,subfield,type,unrecognized?,reference
Jordan,Camille,Brouwer,Luitzen,1911,Mathematics,Topology,,Henri Lebesgue,https://en.wikipedia.org/wiki/Jordan_curve_theorem#Proof_and_generalizations
Jordan,Camille,Hölder,Otto,,Mathematics,,,,https://en.wikipedia.org/wiki/Composition_series#Uniqueness:_Jordan–Hölder_theorem
Jordan,Pascual,Wigner,Eugene,,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Jordan–Wigner_transformation
Kadison,Richard,Kaplansky,Irving,,Mathematics,,,,https://en.wikipedia.org/wiki/Kaplansky%27s_conjectures
Kadison,Richard,Kastler,Daniel,1972,Mathematics,,,,https://en.wikipedia.org/wiki/Kadison–Kastler_metric
Kadison,Richard,Singer,Isadore,1959,Mathematics,,,,https://en.wikipedia.org/wiki/Kadison–Singer_problem
Kähler,Erich,Einstein,Albert,,Mathematics,Geometry,,,https://en.wikipedia.org/wiki/Kähler–Einstein_metric
Kaluza,Theodor,Klein,Oskar,1919,Physics,Particle Physics,,,https://en.wikipedia.org/wiki/Kaluza–Klein_theory
Kapitza,Peter,Dirac,Paul,1933,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Kapitsa–Dirac_effect
Kazhdan,David,Lusztig,George,1979,Mathematics,Representation Theory,,,https://en.wikipedia.org/wiki/Kazhdan–Lusztig_polynomial
Kazhdan,David,Margulis,Grigory,1968,Mathematics,,,,https://en.wikipedia.org/wiki/Kazhdan–Margulis_theorem
Kelvin,Lord*,Helmholtz,Hermann,1868,Engineering,Fluid Mechanics,,,https://en.wikipedia.org/wiki/Kelvin–Helmholtz_instability
Kelvin,Lord*,Stokes,George,,Mathematics,Calculus,,,https://en.wikipedia.org/wiki/Stokes%27_theorem
Kennelly,Arthur,Heaviside,Oliver,1902,Physics,Atmospheric Physics,,,https://en.wikipedia.org/wiki/Kennelly–Heaviside_layer
Khinchin,Aleksandr,Kolmogorov,Andrey,1930,Mathematics,Probability/Statistics,,Norbert Wiener,https://en.wikipedia.org/wiki/Wiener–Khinchin_theorem
Kleene,Stephen,Brouwer,Luitzen,1923,Mathematics,,,"Nikolai Luzin, Wacław Sierpiński",https://en.wikipedia.org/wiki/Kleene–Brouwer_order#History
Kleene,Stephen,Mostowski,Andrzej,,,,,,https://en.wikipedia.org/wiki/Arithmetical_hierarchy
Kleene,Stephen,Rosser,John,1935,Mathematics,Logic,,,https://en.wikipedia.org/wiki/Kleene–Rosser_paradox
Klein,Oskar,Nishina,Yoshio,1928,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Klein–Nishina_formula
Klein,Oskar,Gordon,Walter,1926,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Klein–Gordon_equation
Knudsen,Martin,Langmuir,Irving,,Chemistry,,,,https://en.wikipedia.org/wiki/Hertz–Knudsen_equation
Kohn,Walter,Sham,Lu,1965,Physics,Quantum Mechanics,,,
Koksma,Jurjen,Hlawka,Edmund,,Mathematics,,,,https://en.wikipedia.org/wiki/Low-discrepancy_sequence#The_Koksma–Hlawka_inequality
Kolmogorov,Andrey,Smirnov,Nikolai,1933,Mathematics,Probability/Statistics,,,https://en.wikipedia.org/wiki/Kolmogorov–Smirnov_test
Koopman,Bernard,von Neumann,John,1931,Physics,Classical Mechanics,,,https://en.wikipedia.org/wiki/Koopman–von_Neumann_classical_mechanics
Korteweg,Diederik,de Vries,Gustav,1877,Mathematics,,,Boussinesq,https://en.wikipedia.org/wiki/Korteweg–de_Vries_equation
Kramers,Hans,Anderson,Philip,1934,Physics,Solid-State Physics,,,https://en.wikipedia.org/wiki/Superexchange
Kramers,Hans,Heisenberg,Werner,1925,Physics,,,,
Kramers,Hans,Kronig,Ralph,1926,Physics,Optics,,,https://en.wikipedia.org/wiki/Kramers–Kronig_relations
