family_name,given_name,birth_year,death_year,birth_country,race,gender,reference
Schwinger,Julian,1918,1994,United States,white,male,https://en.wikipedia.org/wiki/Julian_Schwinger
Segal,Graeme,1941,,Australia,white,male,https://en.wikipedia.org/wiki/Graeme_Segal
Seidel,Philipp,1821,1896,Germany,white,male,https://en.wikipedia.org/wiki/Philipp_Ludwig_von_Seidel
Seitz,Frederick,1911,2008,United States,white,male,https://en.wikipedia.org/wiki/Frederick_Seitz
Sekerka,Robert,1937,,United States,white,male,https://en.wikipedia.org/wiki/Robert_Sekerka
Serre,Jean-Pierre,1926,,France,white,male,https://en.wikipedia.org/wiki/Jean-Pierre_Serre
Shah,Jayant,,,,,,
Sham,Lu,1938,,Hong Kong,East Asian,male,https://en.wikipedia.org/wiki/Lu_Jeu_Sham
Shannon,Claude,1916,2001,United States,white,male,https://en.wikipedia.org/wiki/Claude_Shannon
Shockley,William,1910,1989,United States,white,male,https://en.wikipedia.org/wiki/William_Shockley
Shubnikov,Lev,1901,1937,Russia,white,male,https://en.wikipedia.org/wiki/Lev_Shubnikov
Singer,Isadore,1924,2021,United States,white,male,https://en.wikipedia.org/wiki/Isadore_Singer
Slater,John,1900,1976,United States,white,male,https://en.wikipedia.org/wiki/John_C._Slater
Slepian,David,1923,2007,United States,white,male,https://en.wikipedia.org/wiki/David_Slepian
Smale,Stephen,1930,,United States,white,male,https://en.wikipedia.org/wiki/Stephen_Smale
Smirnov,Nikolai,1900,1966,Russia,white,male,https://en.wikipedia.org/wiki/Nikolai_Smirnov_(mathematician)
Smoluchowski,Marian,1872,1917,Poland,white,male,https://en.wikipedia.org/wiki/Marian_Smoluchowski
Snell,Willebrord,1580,1626,Netherlands,white,male,https://en.wikipedia.org/wiki/Willebrord_Snellius
Soldner,Johann,1776,1833,Germany,white,male,https://en.wikipedia.org/wiki/Johann_Georg_von_Soldner
Sommerfeld,Arnold,1868,1951,Germany,white,male,https://en.wikipedia.org/wiki/Arnold_Sommerfeld
Squire,Herbert,1909,1961,England,white,male,https://en.wikipedia.org/wiki/Herbert_Squire
Stallings,John,1935,2008,United States,white,male,https://en.wikipedia.org/wiki/John_R._Stallings
Stark,Johannes,1875,1957,Germany,white,male,https://en.wikipedia.org/wiki/Johannes_Stark
Starling,Kenneth,1935,2019,United States,white,male,https://cen.acs.org/people/obituaries/Obituary-Kenneth-E-Starling/98/i8
Stefan,Josef,1835,1893,Austria,white,male,https://en.wikipedia.org/wiki/Josef_Stefan
Steiner,Jakob,1796,1863,Switzerland,white,male,https://en.wikipedia.org/wiki/Jakob_Steiner
Stern,Otto,1888,1969,Germany,white,male,https://en.wikipedia.org/wiki/Otto_Stern
Stieltjes,Thomas,1856,1894,Netherlands,white,male,https://en.wikipedia.org/wiki/Thomas_Joannes_Stieltjes
Stockmayer,Walter,1914,2004,United States,white,male,https://en.wikipedia.org/wiki/Walter_H._Stockmayer
Stokes,George,1819,1903,Ireland,white,male,"https://en.wikipedia.org/wiki/Sir_George_Stokes,_1st_Baronet"
Stone,Marshall,1903,1989,United States,white,male,https://en.wikipedia.org/wiki/Marshall_Harvey_Stone
Stoner,Edmund,1899,1968,England,white,male,https://en.wikipedia.org/wiki/Edmund_Clifton_Stoner
Streeter,H. W.,,,United States,white,male,
Strogatz,Steven,1959,,United States,white,male,https://en.wikipedia.org/wiki/Steven_Strogatz
Stuart,John,1929,,England,white,male,https://en.wikipedia.org/wiki/John_Trevor_Stuart
Sturm,Jacques,1803,1855,France,white,male,https://en.wikipedia.org/wiki/Jacques_Charles_François_Sturm
Suslin,Andrei,1950,2018,Soviet Union,white,male,https://en.wikipedia.org/wiki/Andrei_Suslin
Swan,Richard,1933,,United States,white,male,https://en.wikipedia.org/wiki/Richard_Swan
Szegö,Gábor,1895,1985,Hungary,white,male,https://en.wikipedia.org/wiki/Gábor_Szegő
Tartaglia,Niccolò,1500,1557,Italy,white,male,https://en.wikipedia.org/wiki/Niccolò_Fontana_Tartaglia
Tate,John,1925,2019,United States,white,male,https://en.wikipedia.org/wiki/John_Tate
Taylor,Geoffrey,1886,1975,England,white,male,https://en.wikipedia.org/wiki/G._I._Taylor
